date,bitcoin_price,bitcoin_vol.
11-06-2021,"37,314.60",109150.0
10-06-2021,"36,649.40",154320.0
09-06-2021,"37,332.20",209820.0
08-06-2021,"33,382.90",193540.0
07-06-2021,"33,578.00",119500.0
04-06-2021,"36,851.30",127710.0
03-06-2021,"39,187.30",106440.0
02-06-2021,"37,555.80",96890.0
28-05-2021,"35,662.50",199580.0
27-05-2021,"38,417.30",122930.0
26-05-2021,"39,249.20",153800.0
25-05-2021,"38,378.30",163010.0
24-05-2021,"38,750.60",244880.0
21-05-2021,"37,297.40",315500.0
20-05-2021,"40,717.20",269750.0
19-05-2021,"36,720.50",607100.0
18-05-2021,"42,897.30",154960.0
17-05-2021,"43,541.30",274760.0
14-05-2021,"49,839.80",118840.0
13-05-2021,"49,704.60",236710.0
12-05-2021,"49,384.20",160740.0
11-05-2021,"56,695.70",96470.0
10-05-2021,"55,848.90",142610.0
07-05-2021,"57,337.20",110010.0
06-05-2021,"56,405.40",109020.0
05-05-2021,"57,441.30",119820.0
04-05-2021,"53,741.50",132330.0
03-05-2021,"57,169.80",89240.0
30-04-2021,"57,720.30",103740.0
29-04-2021,"53,560.80",83900.0
28-04-2021,"54,841.40",86960.0
27-04-2021,"55,036.50",84080.0
26-04-2021,"54,020.50",129760.0
23-04-2021,"51,143.60",214460.0
22-04-2021,"51,729.50",168130.0
21-04-2021,"53,820.20",100260.0
20-04-2021,"56,483.20",115490.0
19-04-2021,"55,646.10",117510.0
16-04-2021,"61,379.70",136850.0
15-04-2021,"63,216.00",76970.0
14-04-2021,"62,980.40",130430.0
13-04-2021,"63,540.90",126560.0
12-04-2021,"59,863.80",81880.0
09-04-2021,"58,118.70",59220.0
08-04-2021,"58,077.40",64780.0
07-04-2021,"55,948.70",110690.0
06-04-2021,"57,996.30",77150.0
05-04-2021,"58,993.40",54130.0
01-04-2021,"58,718.30",69040.0
31-03-2021,"58,763.70",98060.0
30-03-2021,"58,771.30",86210.0
29-03-2021,"57,616.20",107910.0
26-03-2021,"55,036.10",100300.0
25-03-2021,"51,322.30",143350.0
24-03-2021,"52,325.40",137910.0
23-03-2021,"54,452.50",84840.0
22-03-2021,"54,158.30",95530.0
19-03-2021,"58,088.00",83980.0
18-03-2021,"57,656.00",102620.0
17-03-2021,"58,913.50",118260.0
16-03-2021,"56,889.70",128510.0
15-03-2021,"55,791.30",117710.0
12-03-2021,"57,265.10",116960.0
11-03-2021,"57,799.50",129630.0
10-03-2021,"55,851.90",140960.0
09-03-2021,"54,879.00",114060.0
08-03-2021,"52,311.00",68140.0
05-03-2021,"48,792.50",113640.0
04-03-2021,"48,428.00",9560.0
